"","Laji","min_1pros","max_1pros","KA_kasvusyvyys","Mediaani_kasvusyvyys","Keskihajonta","min_5_pros","max_5_pros","min_syvyys","max_syvyys","havaintojen_lkm","Lajin_90_pros_esiintyvyysrajat","lajihavainto"
"141","Zannichellia palustris.var..repens",0.0105,4.6,1.19637797619048,0.8,1.14668170315451,0.1075,3.7,0,5.6,361,"0.11 - 3.7","Zannichellia palustris.var..repens"
"142","Biofilmi",0.0344,12.664,3.81838681948424,2.7,3.31752866438576,0.238,10,0,14.3,350,"0.24 - 10","Biofilmi"
"143","Callitriche sp.",0,3.9,0.930292753623188,0.55,0.964266776858537,0.05,3.1,0,5.3,348,"0.05 - 3.1","Callitriche sp."
"144","Elatine sp.",0,2.1472,0.501144927536232,0.4,0.434272235220936,0.05,1.2,0,4.2,345,"0.05 - 1.2","Elatine sp."
"145","Ranunculus peltatus",0.15,2.19800000000001,0.687820895522388,0.6,0.408516042582295,0.235,1.5,0.1,3.2,335,"0.23 - 1.5","Ranunculus peltatus"
"146","Triglopsis quadricornis",7,74.977,25.417921686747,20.35,16.0755961362508,8,61.045,3.8,79,335,"8 - 61.05","Triglopsis quadricornis"
"147","Potamogeton berchtoldii",0.0221,3.458,0.660403726708075,0.5,0.652171779244847,0.1,2.1,0,5,329,"0.1 - 2.1","Potamogeton berchtoldii"
"148","Chara baltica",0,4.3,1.20496507936508,1,0.817489696103421,0.19,2.7,0,4.5,322,"0.19 - 2.7","Chara baltica"
"149","Potamogeton natans",0.1,1.5,0.57134076433121,0.5,0.310436395600052,0.2,1.2,0,2.2,316,"0.2 - 1.2","Potamogeton natans"
"150","Bryophyta sp.",0.05011,5.55599999999999,1.5055641025641,1,1.32181659165974,0.2,3.845,0.037,5.9,314,"0.2 - 3.84","Bryophyta sp."
"151","Chorda ..Halosiphon",0.3,8,2.19616129032258,1.85,1.69630717505812,0.5,5.4,0.2,10.6,310,"0.5 - 5.4","Chorda ..Halosiphon"
"152","Chara canescens",0.1,2,0.678137457044674,0.6,0.415410883018323,0.2,1.5,0.01,2.6,308,"0.2 - 1.5","Chara canescens"
"153","Rhodochorton purpureum",1,10,4.78381639344262,4.2,2.31087945616265,2,9.2,0.064,11.1,305,"2 - 9.2","Rhodochorton purpureum"
"154","Zannichellia palustris.var..pedicellata",0,4.948,1.16320740740741,0.7,1.12218805185974,0.109,3.2775,0,5.8,291,"0.11 - 3.28","Zannichellia palustris.var..pedicellata"
"155","Limosella aquatica",0,0.9,0.231828070175439,0.2,0.215241598414814,0,0.65,0,1.2,286,"0 - 0.65","Limosella aquatica"
"156","Phyllophora pseudoceranoides",1.225,18.94,9.52685314685315,9.5,3.77493718680502,3.9,15.65,0.24,24.2,286,"3.9 - 15.65","Phyllophora pseudoceranoides"
"157","Poaceae spp.",0,0.8696,0.166353790613718,0.1,0.220579846272486,0,0.6,0,1.759,277,"0 - 0.6","Poaceae spp."
"158","Nerophis ophidion",0.1959,10.9020000000001,4.16281923076923,4,2.58377768275726,0.5,8.4,0,12.3,273,"0.5 - 8.4","Nerophis ophidion"
"159","Sagittaria sagittifolia.x.natans",0.041,1.9,0.534188191881919,0.429,0.383538705382806,0.14,1.1,0,3.5,271,"0.14 - 1.1","Sagittaria sagittifolia.x.natans"
"160","Myriophyllum verticillatum",0,2.5,0.698295454545454,0.55,0.505451208111665,0.1,1.6425,0,3,265,"0.1 - 1.64","Myriophyllum verticillatum"
"161","Schoenoplectus sp.",0,2.03599999999997,0.435478764478764,0.4,0.46073993670615,0.039,1,0,4.4,262,"0.04 - 1","Schoenoplectus sp."
"162","Ranunculus confervoides",0,10.61,0.799664092664093,0.45,1.5797200318338,0.1,1.522,0,11.9,259,"0.1 - 1.52","Ranunculus confervoides"
"163","Mya arenaria",0,19,7.04245348837209,6.99,4.47248430513691,0,14.245,0,19.9,258,"0 - 14.24","Mya arenaria"
"164","Elodea canadensis",0,3.764,0.745420233463035,0.6,0.656929697457428,0.14,1.9,0,5.3,257,"0.14 - 1.9","Elodea canadensis"
"165","Equisetum fluviatile",0,1.1,0.40114,0.4,0.277575997046838,0.00450000000000001,0.9,0,1.15,250,"0 - 0.9","Equisetum fluviatile"
"166","Eleocharis parvula",0,1.118,0.352148760330579,0.35,0.271032164530476,0,0.8,0,1.5,244,"0 - 0.8","Eleocharis parvula"
"167","Eleocharis uniglumis",0,0.67,0.178829166666667,0.15,0.164747988042817,0,0.501,0,0.72,241,"0 - 0.5","Eleocharis uniglumis"
"168","Rihmamainen epifyyttinen levä",0.1,2.586,0.610376569037657,0.5,0.436964635747633,0.3,1.1,0.05,3.8,239,"0.3 - 1.1","Rihmamainen epifyyttinen levä"
"169","Drepanocladus aduncus",0,5.27356,0.76235864978903,0.5,0.894075823659496,0.13,1.8304,0,6.97,238,"0.13 - 1.83","Drepanocladus aduncus"
"170","Drepanocladus sp.",0.014,3.1,0.934184549356223,0.6,0.732687533556573,0.1236,2.37,0,4,234,"0.12 - 2.37","Drepanocladus sp."
"171","Kiinnittynyt rihmamainen viherlevä",0.05,4.568,1.47145922746781,1,1.2682806442233,0.15,4,0.02,5.1,233,"0.15 - 4","Kiinnittynyt rihmamainen viherlevä"
"172","Ajelehtiva tunnistamaton kasviaines",0,9.36,2.66288209606987,1.8,2.49112415423783,0.15,8,0,9.8,229,"0.15 - 8","Ajelehtiva tunnistamaton kasviaines"
"173","Eudesme virescens",0.125,5.75,1.42628318584071,1,1.35925319017647,0.2,4.175,0,8.4,226,"0.2 - 4.18","Eudesme virescens"
"174","Neogobius melanostomus",0.4,10.816,4.32757142857143,4,2.45151544131393,0.9,8.985,0.2,11.66,224,"0.9 - 8.98","Neogobius melanostomus"
"175","Hippuris vulgaris",0,1.2,0.345559633027523,0.3,0.271123823674571,0.01,1,0,1.7,219,"0.01 - 1","Hippuris vulgaris"
"176","Eleocharis palustris",0,0.971999999999997,0.238990697674419,0.2,0.211840399955366,0,0.6,0,1.326,217,"0 - 0.6","Eleocharis palustris"
"177","Fontinalis dalecarlica",0.157,7.48799999999999,2.78883720930233,2.6,1.77056911662319,0.394,5.86,0.1,7.9,215,"0.39 - 5.86","Fontinalis dalecarlica"
"178","Gobius niger",0.301,19.975,7.30712871287129,6.6,4.28686895601407,1.1,15.19,0.2,23.6,212,"1.1 - 15.19","Gobius niger"
"179","Utricularia sp.",0,2.3,0.562184834123223,0.45,0.601954854308896,0.0255,1.395,0,6.3,212,"0.03 - 1.4","Utricularia sp."
"180","Hydra sp.",0.09696,19.2,8.30809644670051,8.5,4.81648724205675,0.7,16.2,0,19.2,197,"0.7 - 16.2","Hydra sp."
"181","Potamogeton sp.",0.01,3.85599999999999,0.667720207253886,0.5,0.721280678475185,0.068,1.9,0,4.8,193,"0.07 - 1.9","Potamogeton sp."
"182","Hydrozoa",0.35,16.245,4.83151041666667,4.6,3.12817533919864,0.5,10.38,0.3,19.9,192,"0.5 - 10.38","Hydrozoa"
"183","Ruppia cirrhosa",0.2,4.57199999999999,1.62068108108108,1.237,1.06711599901166,0.376,3.7,0,6,187,"0.38 - 3.7","Ruppia cirrhosa"
"184","Schoenoplectus lacustris",0,1.415,0.395225806451613,0.3,0.3196124385846,0.023,1.1,0,1.8,187,"0.02 - 1.1","Schoenoplectus lacustris"
"185","Oxyrrhynchium speciosum",0.1425,4.975,2.12521505376344,2.35,1.32313845039259,0.3,4.3,0.05,6.3,186,"0.3 - 4.3","Oxyrrhynchium speciosum"
"186","Mya arenaria.OLDSCALE",0,19,7.81048648648649,7.83,4.26102894813298,0,14.768,0,19,185,"0 - 14.77","Mya arenaria.OLDSCALE"
"187","Kiinnittynyt kalvomainen.punalevä",1,17,6.27429834254144,6,3.35504711333827,2,12.5,1,17.72,181,"2 - 12.5","Kiinnittynyt kalvomainen.punalevä"
"188","Lithoderma sp.",0.3,12.5,4.65675280898876,3.75,3.34235257070719,0.485,12,0.3,12.5,178,"0.48 - 12","Lithoderma sp."
"189","Dictyosiphon foeniculaceus / Stictyosiphon tortilis",0.065,8.67,1.75903614457831,0.9,1.80843385412524,0.25,5,0,8.9,166,"0.25 - 5","Dictyosiphon foeniculaceus / Stictyosiphon tortilis"
"190","Zannichellia palustris var. repens",0.082,4.28799999999999,0.894363636363636,0.7,0.85823506566553,0.2,2.68,0.02,6.3,165,"0.2 - 2.68","Zannichellia palustris var. repens"
"191","Aglaothamnion roseum",1.008,13.507,7.45243902439024,7.95,2.96278453050054,2.6,12.6,0,14.2,164,"2.6 - 12.6","Aglaothamnion roseum"
"192","Myriophyllum sp..Ceratophyllum.sp.",0.463,6.185,2.29234146341463,2.05,1.37323642368146,0.6,4.87,0.267,10,164,"0.6 - 4.87","Myriophyllum sp..Ceratophyllum.sp."
"193","Ranunculus peltatus subsp. baudotii",0.131,2.3,0.78680981595092,0.6,0.473359031020568,0.2,1.7,0.1,2.4,163,"0.2 - 1.7","Ranunculus peltatus subsp. baudotii"
"194","Chara/Nitella",0,4,0.984088050314465,0.8,0.847817909334278,0.05,2.72,0,4,159,"0.05 - 2.72","Chara/Nitella"
"195","Gastropoda",0,3.68799999999998,0.621383647798742,0.4,0.732080854277222,0.047,2.02,0,4.5,159,"0.05 - 2.02","Gastropoda"
"196","Palaemon elegans",0.1,8.255,1.652,1,1.79663070195147,0.2,5.5,0.1,8.5,150,"0.2 - 5.5","Palaemon elegans"
"197","Caltha palustris",0,0.8,0.189277027027027,0.1,0.224776769714635,0,0.65,0,1.3,149,"0 - 0.65","Caltha palustris"
"198","Myriophyllum alterniflorum",0.096,3.904,0.947348993288591,0.7,0.785233343922533,0.27,2.52,0,4.4,149,"0.27 - 2.52","Myriophyllum alterniflorum"
"199","Typha latifolia",0,1.126,0.358902777777778,0.3,0.241669667612587,0.0575,0.884999999999999,0,1.2,144,"0.06 - 0.88","Typha latifolia"
"200","Carex sp.",0,0.916000000000003,0.213146853146853,0.1,0.28013437314024,0,0.6,0,2.421,143,"0 - 0.6","Carex sp."
"201","Ulothrix zonata",0,10.325,1.70708088235294,0.7,2.45896552189209,0.1,8.25,0,11.5,139,"0.1 - 8.25","Ulothrix zonata"
"202","Nymphaeaceae",0.05,2.928,1.11430656934307,1.1,0.650595649725558,0.3,2.22,0,3.9,137,"0.3 - 2.22","Nymphaeaceae"
"203","Gymnocephalus cernuus",2.668,31.948,14.6040983606557,14,6.24115105855481,4.81,23.95,1.1,45.4,127,"4.81 - 23.95","Gymnocephalus cernuus"
"204","Agrostis stolonifera",0,1.86,0.185289256198347,0.1,0.330656101259716,0,0.6,0,2.3,123,"0 - 0.6","Agrostis stolonifera"
"205","Bakteerikasvusto",0.05,8.16399999999999,2.8994262295082,2.4,2.12418552176512,0.1,6.695,0.03,9.5,122,"0.1 - 6.69","Bakteerikasvusto"
"206","Lysimachia thyrsiflora",0,0.9,0.242553719008264,0.15,0.249712800046147,0,0.8,0,1.05,122,"0 - 0.8","Lysimachia thyrsiflora"
"207","Siimaeläinkolonia .kumipallo.",0.2,3,0.74327731092437,0.6,0.574564107800312,0.3,2.04,0.1,3,120,"0.3 - 2.04","Siimaeläinkolonia .kumipallo."
"208","Ranunculus reptans",0,1.8,0.310168067226891,0.267,0.338211755935556,0,0.7037,0,2.3,119,"0 - 0.7","Ranunculus reptans"
"209","Glaux maritima",0,0.6745,0.105762711864407,0.05,0.196548885981623,0,0.3,0,1.8,118,"0 - 0.3","Glaux maritima"
"210","Eleocharis palustris.var..lindbergii",0,4.34400000000001,0.28991452991453,0.2,0.643471854174406,0,0.5,0,5,117,"0 - 0.5","Eleocharis palustris.var..lindbergii"
"211","Dictyosiphon sp.",0.3,5.944,1.99304347826087,1.2,1.57407570980507,0.485,5.1,0.15,8,115,"0.48 - 5.1","Dictyosiphon sp."
"212","Kiinnittynyt kalvomainen.ruskolevä",1.112,14,7.20610619469027,7.3,3.47976021177884,1.7,12.332,0.3,14.8,113,"1.7 - 12.33","Kiinnittynyt kalvomainen.ruskolevä"
"213","Galium palustre",0,0.984,0.137651376146789,0.1,0.198618067142219,0,0.515,0,1.1,110,"0 - 0.51","Galium palustre"
"214","Coccotylus truncatus/ Phyllophora pseudoceranoides",1.908,15.052,7.63302752293578,7.4,2.86653924283568,3.18,13.68,1.8,15.1,109,"3.18 - 13.68","Coccotylus truncatus/ Phyllophora pseudoceranoides"
"215","Potamogeton friesii",0.052,1.3,0.536409523809524,0.5,0.298148023872697,0.15,1.14,0,1.3,109,"0.15 - 1.14","Potamogeton friesii"
"216","Juncus sp.",0,1.785,0.216903846153846,0.125,0.325459720241425,0,0.597,0,2,106,"0 - 0.6","Juncus sp."
"217","Triglochin maritima",0,0.597,0.150537735849057,0.1005,0.163469418985314,0,0.5,0,0.7,106,"0 - 0.5","Triglochin maritima"
"218","Zygnema sp.",0.03712,6.6,0.775914285714286,0.44,1.18136106408509,0.0528,2.072,0,6.6,105,"0.05 - 2.07","Zygnema sp."
"219","Lemna minor",0,1.7,0.464990196078431,0.35,0.418700571076471,0.05,1.5,0,1.7,102,"0.05 - 1.5","Lemna minor"
"220","Tokko",0.17,23.76,8.01432673267327,6.37,6.55796548345432,0.21,21.86,0.13,23.86,101,"0.21 - 21.86","Tokko"
"221","Zannichellia palustris var. pedicellata",0.195,6.81,2.2046875,1.8,1.83045979448075,0.275,5.725,0.1,7,96,"0.27 - 5.73","Zannichellia palustris var. pedicellata"
"222","Batrachospermum sp.",0.291,6.06,1.66705263157895,1.3,1.34544058565991,0.4,4.56,0.15,7,95,"0.4 - 4.56","Batrachospermum sp."
"223","Gobiidae",0.288,11.65,4.11473684210526,4.1,3.00329494307795,0.5,9.26999999999999,0.1,14,95,"0.5 - 9.27","Gobiidae"
"224","Halosiphon tomentosus",0.594,30.06,8.51684210526316,5,9.42896908504418,0.7,28.3,0.5,31,95,"0.7 - 28.3","Halosiphon tomentosus"
"225","Cicuta virosa",0,0.64219999999999,0.2,0.15,0.239461762049541,0,0.5,0,2,94,"0 - 0.5","Cicuta virosa"
"226","Isoëtes sp.",0,2.56999999999999,0.637308510638298,0.5275,0.535196879191838,0.0825,1.5,0,3.5,94,"0.08 - 1.5","Isoëtes sp."
"227","Nitellopsis obtusa",0.2,2.616,1.28387096774194,1.3,0.566173333917512,0.5,2.3,0.2,2.8,94,"0.5 - 2.3","Nitellopsis obtusa"
"228","Pisces",0.01895,5.65599999999999,1.31494680851064,0.6,1.42793867799286,0.05,3.97,0.005,6.4,94,"0.05 - 3.97","Pisces"
"229","Isoetes echinospora",0,1.8,0.590763440860215,0.5,0.476270004666002,0.05,1.7,0,1.8,93,"0.05 - 1.7","Isoetes echinospora"
"230","Fontinalis hypnoides",0.1137,6.5,1.66491304347826,1.4,1.43279002895775,0.2055,4.7,0.05,6.5,92,"0.21 - 4.7","Fontinalis hypnoides"
"231","Trichoptera",0.09,9.09999999999999,1.34521978021978,0.48,2.18451819148702,0.1,6.1,0,10,91,"0.1 - 6.1","Trichoptera"
"232","Polychaeta feces",1.88,14.56,8.0247191011236,8,2.84793708828611,4.04,12,1,15,89,"4.04 - 12","Polychaeta feces"
"233","Rivularia atra",0.1935,4.13399999999999,1.33068181818182,1.1,0.989381317718062,0.2,2.93,0.15,5.7,88,"0.2 - 2.93","Rivularia atra"
"234","Aurelia aurita",0.19,9.43199999999998,3.69590361445783,3.2,2.52752025209352,0.31,8.67,0.19,11.4,83,"0.31 - 8.67","Aurelia aurita"
"235","Sagittaria sagittifolia",0.1928,2.01999999999999,0.551626506024096,0.4,0.445455281236563,0.2,1.49,0.16,2.84,83,"0.2 - 1.49","Sagittaria sagittifolia"
"236","Acrosiphonia arcta",0.1539,6.457,1.75170731707317,1.15,1.55392518122163,0.2025,4.095,0,6.7,82,"0.2 - 4.1","Acrosiphonia arcta"
"237","Eleocharis mamillata",0,0.6285,0.268719512195122,0.3,0.157789301174672,0.0215,0.5,0,0.75,82,"0.02 - 0.5","Eleocharis mamillata"
"238","Utricularia vulgaris",0,1.6,0.615320987654321,0.5,0.397325113325363,0.1,1.5,0,1.6,81,"0.1 - 1.5","Utricularia vulgaris"
"239","Tolypella sp.",0.3,6.544,2.67417721518987,2.5,1.66146337073518,0.49,5.39999999999999,0.3,6.7,80,"0.49 - 5.4","Tolypella sp."
"240","Monostroma grevillei",0.378,7.754,3.54556962025316,3.1,1.95026608758871,0.68,7.11,0.3,8.3,79,"0.68 - 7.11","Monostroma grevillei"
"241","Crassula aquatica",0,0.8,0.248289473684211,0.2,0.223770049577059,0,0.65,0,0.8,76,"0 - 0.65","Crassula aquatica"
"242","Siimaeläinkolonia",0.1865,1.227,0.548648648648649,0.5,0.233785549340289,0.265,1.035,0.15,1.3,74,"0.26 - 1.03","Siimaeläinkolonia"
"243","Kiinnittynyt .kalvomainen.viherlevä",0.09864,5.556,1.90886301369863,1.5,1.69275681060896,0.137,4.72,0,5.7,73,"0.14 - 4.72","Kiinnittynyt .kalvomainen.viherlevä"
"244","Unio spp.",0,3.058,1.55972222222222,1.6,0.765756501992825,0.355,2.545,0,3.2,72,"0.36 - 2.55","Unio spp."
"245","Mytilus ..Mytilopsis...Dreissena",0.58,20.275,10.0003428571429,9.965,5.61446975024334,1.13165,17.775,0.58,22,70,"1.13 - 17.77","Mytilus ..Mytilopsis...Dreissena"
"246","Potamogeton gramineus.x.perfoliatus",0.114,5.6,1.50780303030303,1,1.24834758744013,0.2,3.98775,0.114,5.6,68,"0.2 - 3.99","Potamogeton gramineus.x.perfoliatus"
"247","Rhizoclonium sp.",0.0065,7.32499999999999,1.62333333333333,0.735,1.82764020473088,0.2,5.35,0,8.3,67,"0.2 - 5.35","Rhizoclonium sp."
"248","Kiinnittynyt kalvomainen ruskolevä",0.3,7.936,4.08153846153846,4,1.80389269252743,0.5,7.68,0.3,8,65,"0.5 - 7.68","Kiinnittynyt kalvomainen ruskolevä"
"249","Sinileväpallo .vihreäkuula.",0.0263,2.1,0.95303125,0.95,0.481821905079341,0.23,1.66055,0.02,2.1,64,"0.23 - 1.66","Sinileväpallo .vihreäkuula."
"250","Bolboschoenus maritimus",0,1.3558,0.365666666666667,0.32,0.277185409811609,0,0.714999999999999,0,1.58,63,"0 - 0.71","Bolboschoenus maritimus"
"251","Butomus umbellatus",0,2.804,0.733333333333333,0.5,0.615393920525183,0.3,2.09,0,3.3,63,"0.3 - 2.09","Butomus umbellatus"
"252","Chara aspera.var..subinermis",0,3.3844,0.598490909090909,0.351,0.749140516728814,0.014,2.1857,0,3.703,61,"0.01 - 2.19","Chara aspera.var..subinermis"
"253","Kiinnittynyt kalvomainen viherlevä",0.1,5.22,1.89508196721311,1.5,1.48092608745431,0.3,4.6,0.1,5.4,61,"0.3 - 4.6","Kiinnittynyt kalvomainen viherlevä"
"254","Potamogeton obstusifolia",0.3,4.3,1.26983606557377,0.7,1.18193977822233,0.4,4.1,0.3,4.3,61,"0.4 - 4.1","Potamogeton obstusifolia"
"255","Rhithropanopeus harrisii",0.42,14.2,4.93408196721311,4.7,3.28852973883001,0.7,12,0.3,14.5,61,"0.7 - 12","Rhithropanopeus harrisii"
"256","Kiinnittynyt tunnistamaton rihmalevä > 5 cm",0.059,5.80599999999998,0.754166666666667,0.5,1.29828086024958,0.1475,2.61,0,9.7,60,"0.15 - 2.61","Kiinnittynyt tunnistamaton rihmalevä > 5 cm"
"257","Audouinella sp.",0.916,6.246,3.30169491525424,3.2,1.06000838081003,1.81,4.71,0.8,7,59,"1.81 - 4.71","Audouinella sp."
"258","Persicaria foliosa",0,0.9,0.393050847457627,0.4,0.250704209813547,0.018,0.805,0,0.9,59,"0.02 - 0.8","Persicaria foliosa"
"259","Ulothrix sp.",0.04,9.01,1.38674576271186,0.7,1.85678097043782,0.1,4.21999999999999,0.04,9.3,59,"0.1 - 4.22","Ulothrix sp."
"260","Monostroma balticum",0,5.488,2.32912280701754,2.7,1.52555292166217,0,5,0,5.6,57,"0 - 5","Monostroma balticum"
"261","Potamogeton alpinus",0,2.04399999999999,0.413280701754386,0.3,0.467746029775697,0.008,0.76,0,3.5,57,"0.01 - 0.76","Potamogeton alpinus"
"262","Sulfaattibakteerit",0,18.992,3.88982456140351,3.5,3.78682277831772,0.104,8.79999999999999,0,20,57,"0.1 - 8.8","Sulfaattibakteerit"
"263","Nitella wahlbergiana",0.05,1.73,0.589272727272727,0.5,0.395342582548045,0.094,1.43,0.05,2,55,"0.09 - 1.43","Nitella wahlbergiana"
"264","Platichthys flesus",1,25.764,8.81641509433962,7.9,6.07613620091547,1.36,20.4,1,28,55,"1.36 - 20.4","Platichthys flesus"
"265","Syngnathus typhle",0.21,11,3.3438,3,2.57197207748197,0.6,7.935,0.21,11,55,"0.6 - 7.93","Syngnathus typhle"
"266","Rutilus rutilus",0.16,16.275,3.56428,1.05,4.80386141892591,0.227,13.94,0.16,17.5,53,"0.23 - 13.94","Rutilus rutilus"
"267","Spongomorpha aeruginosa",0.026,3.144,0.794528301886792,0.58,0.720177771957772,0.08,2.13,0,3.3,53,"0.08 - 2.13","Spongomorpha aeruginosa"
"268","Isoetes lacustris",0.0255,2.24775,0.490865384615385,0.428,0.442225611342559,0.075,0.920399999999998,0,3,52,"0.07 - 0.92","Isoetes lacustris"
"269","Hippuris tetraphylla",0,5,0.3026,0.05,0.97753085446372,0,0.472,0,5,50,"0 - 0.47","Hippuris tetraphylla"
"270","Tunnistamaton rihmamainen.sinilevä",0,2.1204,0.68354,0.554,0.571205964140246,0,2.01,0,2.14,50,"0 - 2.01","Tunnistamaton rihmamainen.sinilevä"
"271","Typha angustifolia",0.0528,1.084,0.428666666666667,0.4,0.22260441880773,0.2,0.899999999999999,0,1.15,50,"0.2 - 0.9","Typha angustifolia"
"272","Callitriche cophocarpa",0,1.056,0.352244897959184,0.3,0.296978291196809,0.00560000000000001,0.9,0,1.2,49,"0.01 - 0.9","Callitriche cophocarpa"
"273","Chaetomorpha sp.",1.04,10.3,6.80408163265306,7.6,2.9313648118008,1.3,10.3,0.8,10.3,49,"1.3 - 10.3","Chaetomorpha sp."
"274","Chara virgata",0.198,3.1,0.931020408163265,0.7,0.806278087102395,0.288,3,0.15,3.1,49,"0.29 - 3","Chara virgata"
"275","Hydrobia sp..OLDSCALE",1.192,13.52,6.47142857142857,6,2.94788059459674,2.7,11.8,1,14,49,"2.7 - 11.8","Hydrobia sp..OLDSCALE"
"276","Lythrum salicaria",0,0.526,0.157755102040816,0.1,0.15152372347428,0,0.43,0,0.55,49,"0 - 0.43","Lythrum salicaria"
"277","Sagittaria sp.",0.1144,3.93599999999999,0.593673469387755,0.5,0.776594311394177,0.138,1.68,0.1,4.8,49,"0.14 - 1.68","Sagittaria sp."
"278","Spirogyra sp.",0.0144,5.6,2.04959183673469,1.7,1.85191562890933,0.1,5.56,0,5.6,49,"0.1 - 5.56","Spirogyra sp."
"279","Bacillariophyta",0.0238,3.524,0.590425531914894,0.3,0.790750764468719,0.086,2.19,0.01,3.8,47,"0.09 - 2.19","Bacillariophyta"
"280","Ceramium virgatum..rubrum.",0.78,8.4,5.55872340425532,6,2.03552537499939,1.2,8.4,0.78,8.4,47,"1.2 - 8.4","Ceramium virgatum..rubrum."
"281","Pomatoschistus sp.",0.238,10.386,5.0936170212766,5.7,3.3094334373463,0.5,9.8,0.1,10.8,47,"0.5 - 9.8","Pomatoschistus sp."
"282","Worm pipes",1.4202,9.16,5.48063829787234,5.86,1.6982156930851,2.97,7.16,0.1,9.16,47,"2.97 - 7.16","Worm pipes"
"283","Pot pect/Pot fili/Ruppia sp./Zannichellia sp.",0.05,4.868,1.19,0.5,1.400673539279,0.06,3.9,0.05,5,45,"0.06 - 3.9","Pot pect/Pot fili/Ruppia sp./Zannichellia sp."
